"id","sno","title","keywords","rating","href"
565,"565","Just Go With It","Romance, Relationships Gone Wrong, Unexpected Families, Family Vacations, Gratuitous Cameos","PG-13 for frequent crude and sexual content, partial nudity, brief drug references and language.(Rating bulletin 2154, 1/12/2011)","https://www.the-numbers.com/movie/Just-Go-With-It#tab=summary"
566,"566","Daredevil","Marvel Comics, Visual Effects, Film Noir","PG-13 for action/violence and some sensuality","https://www.the-numbers.com/movie/Daredevil#tab=summary"
567,"567","Eagle Eye","Terrorism, Surprise Twist, Artificial Intelligence, IMAX: DMR","PG-13 for intense sequences of action and violence, and for language.","https://www.the-numbers.com/movie/Eagle-Eye#tab=summary"
568,"568","Con Air","","R for strong violence and language","https://www.the-numbers.com/movie/Con-Air#tab=summary"
569,"569","Yogi Bear","3-D, Animal Lead, Talking Animals, 3-D - Shot in 3-D","PG for some mild rude humor.(Rating bulletin 2143, 10/20/2010)","https://www.the-numbers.com/movie/Yogi-Bear#tab=summary"
570,"570","Cold Mountain","Civil War","R for violence and sexuality","https://www.the-numbers.com/movie/Cold-Mountain#tab=summary"
571,"571","The Book of Eli","Post Apocalypse","R For some brutal violence and language","https://www.the-numbers.com/movie/Book-of-Eli-The#tab=summary"
572,"572","Flubber","","PG for slapstick action and mild language","https://www.the-numbers.com/movie/Flubber#tab=summary"
573,"573","The Haunting","Hauntings","PG-13 for intense horror sequences","https://www.the-numbers.com/movie/Haunting-The#tab=summary"
574,"574","Space Jam","Basketball","PG for some mild cartoon language","https://www.the-numbers.com/movie/Space-Jam#tab=summary"
575,"575","Fury","World War II, Behind Enemy Lines, IMAX: DMR","R for strong sequences of war violence, some grisly images, and language
throughout.(Rating bulletin 2337, 8/27/2014)","https://www.the-numbers.com/movie/Fury-(2014)#tab=summary"
576,"576","Smallfoot","Bigfoot, Mountain Climbing, Humans as Monsters, Falsely Accused, 3-D, 3-D - Shot in 3-D","PG for some action, rude humor, and thematic elements.(Rating bulletin 2537 (Cert #51715), 7/25/2018)","https://www.the-numbers.com/movie/Smallfoot-(2018)#tab=summary"
577,"577","The Pink Panther","Heist","PG for occasional crude and suggestive humor and language.","https://www.the-numbers.com/movie/Pink-Panther-The-(2006)#tab=summary"
578,"578","Zookeeper","Romance, Relationships Gone Wrong, Mid-Life Crisis, Talking Animals, Animal Lead, Relationship Advice, Romance, Gratuitous Cameos","PG for some rude and suggestive humor, and language.(Rating bulletin 2143, 10/20/2010)","https://www.the-numbers.com/movie/Zookeeper#tab=summary"
579,"579","The Day the Earth Stood Still","Alien Invasion, IMAX: DMR, Search for Extraterrestrial Life, First Contact, Motion Capture Performance","PG-13 for some sci-fi disaster images and violence","https://www.the-numbers.com/movie/Day-the-Earth-Stood-Still-The#tab=summary"
580,"580","Conspiracy Theory","Conspiracy Theory","R for some violence","https://www.the-numbers.com/movie/Conspiracy-Theory#tab=summary"
581,"581","Six Days, Seven Nights","Romance","PG-13 for language, sensuality and brief violence","https://www.the-numbers.com/movie/Six-Days-Seven-Nights#tab=summary"
582,"582","Spirit: Stallion of the Cimarron","Voiceover/Narration, Animal Lead, Native Americans, Land Developer","G","https://www.the-numbers.com/movie/Spirit-Stallion-of-the-Cimarron#tab=summary"
583,"583","Swordfish","Non-Chronological, Internet","R for violence, language and some sexuality/nudity","https://www.the-numbers.com/movie/Swordfish#tab=summary"
584,"584","Fantasia 2000 (Theatrical Release)","Delayed Sequel","G","https://www.the-numbers.com/movie/Fantasia-2000-(Theatrical-Release)#tab=summary"
585,"585","Lost In Space","Time Travel","PG-13 for some intense sci-fi action","https://www.the-numbers.com/movie/Lost-In-Space#tab=summary"
586,"586","The Manchurian Candidate","Political, Gulf War","R for violence and some language","https://www.the-numbers.com/movie/Manchurian-Candidate-The-(2004)#tab=summary"
587,"587","DÃ©jÃ  Vu","Time Travel","PG-13 for intense sequences of violence and terror, disturbing images and some sensuality","https://www.the-numbers.com/movie/Deja-Vu-(2006)#tab=summary"
588,"588","Bewitched","Secret Magic","PG-13 for some language, including sex and drug references, and partial nudity.","https://www.the-numbers.com/movie/Bewitched#tab=summary"
589,"589","The Time Machine","Time Travel","PG-13 for intense sequences of action violence","https://www.the-numbers.com/movie/Time-Machine-The#tab=summary"
590,"590","What Dreams May Come","Religious, Heaven and Hell","PG-13 for thematic elements involving death, some disturbing images and language.","https://www.the-numbers.com/movie/What-Dreams-May-Come#tab=summary"
591,"591","Mighty Joe Young","Animal Lead","PG for some menacing action violence and mild language","https://www.the-numbers.com/movie/Mighty-Joe-Young#tab=summary"
592,"592","The Legend of Zorro","","PG for sequences of violence/peril and action, language and a couple of suggestive moments","https://www.the-numbers.com/movie/Legend-of-Zorro-The#tab=summary"
1509,"1,509","Torque","","PG-13 for violence, sexuality, language and drug references.","https://www.the-numbers.com/movie/Torque#tab=summary"
593,"593","Ad Astra","IMAX: DMR, Space Program, Missing Person, Rescue, Scientific Experiment Gone Awry","PG-13 for some violence and bloody images, and for brief strong language.(Rating bulletin 2589 (Cert #52303), 7/31/2019)","https://www.the-numbers.com/movie/Ad-Astra-(2019)#tab=summary"
